学生,班级,语文,数学,英语,政治,历史,地理,生物
a1,1班,90,85,96,61,66.5,69,67
a2,1班,76,93,80.5,60,62,60,55
a3,1班,75,85,76.5,57,59,62,62
a4,1班,78,83,71.5,62,57.5,60,61
a5,1班,84,85,70.5,48,55,58,57
a6,1班,79,82,55.5,57,55.5,64,59
a7,1班,68,78,64,57,54.5,64,59
a8,1班,74,80,69,52,47,59,54
a9,1班,79,54,70,56,55.5,64,56
a10,1班,69,78,54.5,54,46,63,56
a11,1班,72,79,54.5,55,44.5,63,42
a12,1班,81,65,49,48,48,60,56
a13,1班,73,71,54,45,49,59,49
a14,1班,64,65,65.5,47,38.5,58,54
a15,1班,62,65,39,41,51.5,61,51
a16,1班,65,70,40,51,39,43,46
a17,1班,65,52,52,51,35,47,46
a18,1班,58,59,40.5,47,44,50,46
a19,1班,57,68,77,0,43.5,55,40
a20,1班,51,43,30,35,45,59,48
a21,1班,63,53,17.5,39,38,42,39
a22,1班,51,32,23,41,36,45,40
a23,1班,56,64,16,26,24,44,31
a24,1班,33,31,45.5,34,31.5,54,31
a25,1班,58,11,28.5,46,22.5,55,22
a26,1班,52,18,33.5,35,26.5,47,28
a27,1班,57,6,21,29,33,41,32
a28,1班,17,6,23.5,16,16.5,14,5
a29,2班,86,88,85.5,56,65,69,70
a30,2班,79,84,95.5,51,58.5,64,67
a31,2班,80,91,67.5,64,58,62,55
a32,2班,80,70,81,48,64.5,57,62
a33,2班,68,89,76.5,56,58,61,53
a34,2班,74,67,69.5,49,47,60,53
a35,2班,74,81,42,49,50.5,62,48
a36,2班,68,83,59,34,47.5,61,54
a37,2班,81,56,71.5,55,40.5,55,46
a38,2班,53,80,54.5,46,51,56,63
a39,2班,67,74,63,54,44.5,57,39
a40,2班,58,72,55,38,51,63,60
a41,2班,68,74,51,51,50,60,40
a42,2班,64,87,58.5,43,47,52,41
a43,2班,74,71,46.5,49,36.5,57,41
a44,2班,59,85,48.5,33,34,56,57
a45,2班,78,42,51.5,54,48,55,38
a46,2班,67,47,63.5,48,32,57,37
a47,2班,67,45,20.5,52,39.5,56,46
a48,2班,68,32,48,42,36,39,49
a49,2班,52,45,28,56,24.5,49,39
a50,2班,65,61,12.5,39,20.5,32,25
a51,2班,61,24,44,39,18.5,35,21
a52,2班,48,27,19.5,32,28.5,55,32
a53,2班,49,29,19,28,37.5,28,21
a54,2班,68,29,52,43,0,0,0
a55,2班,10,6,15.5,25,21,46,32
a56,3班,93,94,92.5,63,61.5,67,67
a57,3班,81,93,91.5,63,59.5,65,65
a58,3班,87,94,92.5,58,56,66,63
a59,3班,78,89,89,65,60,65,69
a60,3班,79,96,87.5,63,53,66,68
a61,3班,81,93,86.5,57,59,65,67
a62,3班,74,94,93,57,65,65,60
a63,3班,81,96,91.5,57,51.5,63,67
a64,3班,85,96,85,56,61.5,64,58
a65,3班,75,83,87.5,64,64.5,67,61
a66,3班,83,93,80,57,64,67,56
a67,3班,83,92,91,60,55.5,57,61
a68,3班,81,91,85.5,60,55,64,62
a69,3班,83,87,76.5,69,62.5,60,57
a70,3班,83,82,89.5,62,59,63,52
a71,3班,82,67,87,66,63,66,59
a72,3班,76,90,81.5,54,56,63,68
a73,3班,75,92,86,63,54,64,53
a74,3班,83,94,91.5,63,42,54,56
a75,3班,82,80,79.5,63,54.5,65,56
a76,3班,81,82,81,55,47,65,68
a77,3班,82,92,76,58,55.5,56,52
a78,3班,75,87,73,53,60,64,54
a79,3班,69,83,71.5,53,54.5,66,58
a80,3班,78,77,82,61,44,60,50
a81,3班,83,81,79.5,56,49.5,46,44
a82,3班,69,76,80,52,52,57,49
a83,3班,73,92,50,56,38.5,57,59
a84,3班,61,79,67,43,52.5,60,54
a85,3班,85,68,70.5,57,31,43,37
a86,3班,64,32,62.5,48,45.5,34,45
a87,4班,87,95,92.5,50,59,58,55
a88,4班,74,90,84,58,61,66,62
a89,4班,84,85,91.5,52,50,64,67
a90,4班,84,90,65,52,53.5,56,68
a91,4班,79,76,83,57,52.5,58,61
a92,4班,75,82,66,59,56,62,66
a93,4班,73,86,83,52,54.5,61,51
a94,4班,79,88,72.5,50,45.5,58,51
a95,4班,69,74,76.5,58,55,55,50
a96,4班,69,75,52.5,58,57.5,61,51
a97,4班,79,90,55.5,52,30.5,60,55
a98,4班,68,78,59,42,51.5,63,60
a99,4班,71,87,49,47,49,62,50
a100,4班,67,64,70,51,42.5,59,41
a101,4班,75,68,64,57,50,48,30
a102,4班,59,70,69.5,47,48,37,56
a103,4班,74,52,67.5,47,51.5,54,39
a104,4班,64,72,63,41,30.5,59,51
a105,4班,71,77,43.5,37,38,58,51
a106,4班,71,39,70,45,40,52,39
a107,4班,38,54,39.5,27,55.5,55,51
a108,4班,54,22,50.5,37,44.5,57,41
a109,4班,59,29,41,33,50.5,33,31
a110,4班,50,70,38,35,17,32,12
a111,4班,50,52,30,46,14.5,19,30
a112,4班,0,0,23.5,45,50.5,59,44
a113,4班,48,21,26,32,23,31,19
a114,4班,17,11,26,26,15.5,24,27
